Tool,UTID,SO_FID,Customer ,tool_status,Open_Date,Ship_Date,Comment,Handler,K_MAT,WO1,Tester_Type,WO2,BBSE,WO3,WLR_FD,WO4,OPTION_LDSR,WO5,UVR_eUVR,WO6,AiD_SSiD,WO7,Compensator,WO8,MSWAVECAL,WO9,NLR_Ceramic_Chuck,WO10,Others,IS_SHIPPED
Viking F1,7273132,120693,TSMC FAB 18 P5,KLA,15-Mar,14-Apr,,H000317214,0634468-000,1080399,Tester 0614033-000,1078940,"0629129-000 
XMSE Cascaded",1078941,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1078942,,,"0607019-000 
OPTION,SWE-EP",1078943,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1078946,"0614958-000 OPTION,MSWAVECAL",1078944,"0623771-000 OPTION,FOG,F1",1078945,,0
SF 8660,7273135,120503,SOITEC SA,KLA-Vilar ,23-Mar,27-Apr,,H000317252,0809023-000,1082474,Tester - 0754738-000,1079231,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1079233,"0100231-001 
FEATURE,WLR,ALERIS",1079234,,,,,,,,,,,,,1,0
Aleris 8370,7273121,125359,SAMSUNG P3,KLA-Vilar ,24-Mar,1-May,,H000317288,0221125-000,1081489,Tester 0221128-000,1079270,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1079271,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1079272,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1079273,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1079274,,,1,0
Aleris 8370,7273133,123422,SAMSUNG XIAN FAB,KLA-Vilar ,24-Mar,21-Apr,,H000317091,0221125-000,1081402,Tester 0221128-000,1079290,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1079291,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1079292,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1079293,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1079294,,,1,0
Viking SS11K_m,7273152,125823,SK HYNIX M14-2,KLA,27-Mar,2-May,,H000317123,0756702-000,1083311,"Tester SS11K_M 
0750868-000 ",1079348,"0750855-000 
FEATURE,2.5UM IRSE",1079349,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079350,,,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079351,,,,,1,0
Viking SS11K_m,7273153,125425,SK HYNIX SEMICONDUCTOR (CHINA) C2F,KLA,27-Mar,4-May,,H000317093,0756702-000,1081648,"Tester SS11K_M 
0750868-000 ",1079357,"0750855-000 
FEATURE,2.5UM IRSE",1079358,,,0828181-000-Option DNS,1079359,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079360,,,,,1,0
Viking F1,7273158,120701,TSMC FAB 18 P5,KLA,27-Mar,8-May,,H000317245,0634468-000,1081497,Tester 0614033-000,1079387,"0629129-000 
XMSE Cascaded",1079388,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079389,,,"0607019-000 
OPTION,SWE-EP",1079390,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1079391,"0614958-000 OPTION,MSWAVECAL",1079392,"0623771-000 OPTION,FOG,F1",1079393,,0
Viking F1,7273150,120706,TSMC FAB 18 P5,KLA,27-Mar,11-May,,H000317304,0634468-000,1081878,Tester 0614033-000,1079459,"0629129-000 
XMSE Cascaded",1079460,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079463,,,"0607019-000 
OPTION,SWE-EP",1079464,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1079465,"0614958-000 OPTION,MSWAVECAL",1079466,"0623771-000 OPTION,FOG,F1",1079467,,0
Viking SS12K,7273115,,KLA,KLA,29-Mar,,,,,,"Tester SS12K 
0787175-000",1079468,"0802914-000 
FEATURE,BBSE,SS12K",1079469,"0801880-000 
KIT,INTEGRATION,LDSR-XP",1079470,"0790589-000-Optical module, LDSR-XP",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079471,,,,,1,0
Viking LS11K,7273064,119113,INTEL IRELAND LTD FAB 24,KLA,29-Mar,31-May,,H000344296,0773971-000,1082695,"0757019-000
TESTER,LITHOSHAPE 11K",1079481,"0756154-000
FEATURE,BBSE,LS11K",1079482,"0755684-000 
KIT,INTEGRATION,LDSR,LS11K",1079483,"0575683-000
OPTION,LDSR",,,,,,"0715121-000
Copensator",1079484,,,,,1,0
Viking SS11K_S,7273155,126737,SAMSUNG L-16,KLA,29-Mar,9-May,,H000317336,0842074-000,1079522," TESTER,SPECTRASHAPE 11K_S
0842074-000",1079522,"0837027-000 
FEATURE,IRSE2.5,SS11K_S",1079523,"0712159-000 
LDSR INTEGRATION",1079524,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079525,,,,,1,0
Aleris 8350,7273161,122853,SK HYNIX M14-2,KLA-Vilar ,29-Mar,10-May,,H000344297,0221125-000,1083391,Tester 0221128-000,1079526,"0603648-000 BBSE 193 DUV Aleris 8350,ROW",1082476,"0100231-001 
FEATURE,WLR,ALERIS",1082525,,,,,,,,,,,,,1,0
Aleris 8500,7273156,117093,UMC 12A P5,KLA-Vilar ,30-Mar,1-Jun,,H000317342,0221126-000,1082139,Tester 0221129-000,1079545,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1079546,"0100231-001 
FEATURE,WLR,ALERIS",1079559,,,,,0613744-000 ID,1079560,"0372205-001 
KIT,SWE,ALERIS,ROW",1079561,,,,,1,0
Viking SS11K_m,7273160,122812,CHANGXIN XINQIAO MEMORY,KLA,30-Mar,23-May,,H000317184,0756702-000,1082129,"Tester SS11K_M 
0750868-000 ",1079562,"0750855-000 
FEATURE,2.5UM IRSE",1079563,"0712159-000 
LDSR INTEGRATION",1079584,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079564,,,,,1,0
Viking F1,7273175,120709,TSMC FAB 18 P6,KLA,30-Mar,26-May,,H000344246,0634468-000,1081875,Tester 0614033-000,1079585,"0629129-000 
XMSE Cascaded",1079586,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079587,,,"0607019-000 
OPTION,SWE-EP",1079588,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1079590,"0614958-000 OPTION,MSWAVECAL",1079591,"0623771-000 OPTION,FOG,F1",1079592,,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0
Viking SS11K_S,7273145,126735,SAMSUNG P3F,KLA,3-Apr,18-May,,H000317153,0842074-000,1079723," TESTER,SPECTRASHAPE 11K_S
0842074-000",1079723,"0837027-000 
FEATURE,IRSE2.5,SS11K_S",1079730,"0712159-000 
LDSR INTEGRATION",1079725,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079727,,,,,1,0
Viking LS11K,7273068,118950,INTEL IRELAND LTD FAB 24,KLA,3-Apr,21-Jun,,H000344320,0773971-000,1082895,"0757019-000
TESTER,LITHOSHAPE 11K",1079741,"0756154-000
FEATURE,BBSE,LS11K",1079742,"0755684-000 
KIT,INTEGRATION,LDSR,LS11K",1079743,"0575683-000
OPTION,LDSR",,,,,,"0715121-000
Copensator",1079744,,0750742-000,0709940-000,0769140-000,1,0
Viking SS11Ki,7273186,119222,INTEL IRELAND LTD FAB 24,KLA,3-Apr,23-Jun,,H000344353,0819629-000,1082866,"Tester SS11K-I 
0715134-000",1079745,0714778-000 - BBSE SS11K,1079746,"0712159-000 
LDSR INTEGRATION",1079747,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1079748,,,0769140-000,,1,0
Aleris 8370,7273137,126439,SAMSUNG P3F,KLA-Vilar ,5-Apr,28-Apr,,H000317211,0221125-000,1081427,Tester 0221128-000,1079763,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1079764,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1079765,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1079766,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1079767,,,1,0
Viking SS11Ki,7273179,118673,INTEL CORPORATION FAB D1C,KLA,11-Apr,20-Jun,,H000344409,0819629-000,1082924,"Tester SS11K-I 
0715134-000",1079976,0714778-000 - BBSE SS11K,1079977,"0712159-000 
LDSR INTEGRATION",1079978,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1079979,,,,,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Aleris 8370,7273157,126441,SAMSUNG XIAN FAB,KLA,12-Apr,17-May,,H000317175,0221125-000,1082133,Tester 0221128-000,1080029,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1080030,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1080031,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1080033,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1080034,,,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
