Tool,UTID,SO_FID,Customer ,tool_status,Open_Date,Ship_Date,Comment,Handler,K_MAT,WO1,Tester_Type,WO2,BBSE,WO3,WLR_FD,WO4,OPTION_LDSR,WO5,UVR_eUVR,WO6,AiD_SSiD,WO7,Compensator,WO8,MSWAVECAL,WO9,NLR_Ceramic_Chuck,WO10,Others,IS_SHIPPED
LD10,7273168,118031,STMICROELECTRONICS (CROLLES 2) SAS,KLA,8-May,12-Jun,,H000317368,0523938-000,1082926,"TESTER – LD 10
0511938-000",1081009,"IRSE A-B
0598134-000",1081010,"WLR for SF LD 10
0353539-000",1081011,,,"0556087-000
KIT,SWE-2,SHELBY",1081467,"0510619-000
OPTION,SSID/SWE/SHELBY",1081012,"OPTION,940NM LED,WLR/PR
0676544-000",1081013,,,,,1,0
Viking F1,7273207,,TSMC FAB 18 P5,KLA,9-May,30-Jun,,H000344488,0634468-000,1083273,Tester 0614033-000,1081014,"0629129-000 
XMSE Cascaded",1081015,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1081016,,,"0607019-000 
OPTION,SWE-EP",1081017,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1081018,"0614958-000 OPTION,MSWAVECAL",1081019,"0623771-000 OPTION,FOG,F1",1081021,,0
LD10,7273147,118032,X-FAB FRANCE SAS,KLA,9-May,21-Jun,,H000344298,0523938-000,1083062,"TESTER – LD 10
0511938-000",1081028,"0527023-000 
FEATURE,BBSE,ROW,SHELBY",1081029,"WLR for SF LD 10
0353539-000",1081030,,,"0556087-000
KIT,SWE-2,SHELBY",1081136,"0510619-000
OPTION,SSID/SWE/SHELBY",1081031,,,,,,,1,0
Aleris 8350,7273159,126438,SAMSUNG P1-3,KLA,9-May,7-Jun,,H000344261,0221125-000,1082195,Tester 0221128-000,1081051,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1081108,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1081127,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1081128,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1081129,,,1,0
Viking SS11Ki,7273212,118648,INTEL IRELAND LTD FAB 24,KLA,12-May,4-Jul,,H000344503,0819629-000,1084491,"Tester SS11K-I 
0715134-000",1081403,0714778-000 - BBSE SS11K,1081405,"0712159-000 
LDSR INTEGRATION",1081407,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1081410,,,0769140-000,0744867-000,,0
Viking SS11K_S,7273213,,SAMSUNG P3F,KLA,15-May,4-Jul,,,,," TESTER,SPECTRASHAPE 11K_S
0842074-000",1081438,"0837027-000 
FEATURE,IRSE2.5,SS11K_S",1081437,"0712159-000 
LDSR INTEGRATION",1081439,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1081440,,,,,,0
F10-XP,7273146,,INTEL CORPORATION FAB D1D,KLA,15-May,14-Aug,,,,,Tester 0745640-000,1081452,"0837211-000
FEATURE IRSE 2.5UM,HS,F10",1081472,"0712159-000 
LDSR INTEGRATION",1081473,"0825350-000           OPTION,LDSR-HR,F10",,"0748073-000
 OPTION,SWE-EP,SS11K",1081477,"0754840-000
KIT,INTEGRATION,SSID,SS11K",1081478,"0804803-000
OPTION,COMPENSATOR,F10",1081479," 0975909-000           KIT,UPGRADE,SE 170,V9,F10",1081481,"0623771-000 OPTION,FOG,F1",1081480,,0
Aleris 8510,7273191,117159,WINBOND FAB KAOHSIUNG,KLA,16-May,21-Jun,,H000344230,0256442-000,1083392,Tester  0291462-000,1081496,"0256449-000 
FEATURE,BBSE,150/VUV,ALERIS 8510",1081500,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1081501,,,"0372205-001 
KIT,SWE,ALERIS,ROW",1081504,0567632-000 AID,1081505,,,,,"0379804-000 KIT, N2 PURGE, MATCHING",1081506,,0
LD10,7273246,119544,STMICROELECTRONICS (CROLLES 2) SAS,KLA,17-May,19-Jun,,H000317364,0523938-000,1083525,"TESTER – LD 10
0511938-000",1081508,"IRSE A-B
0598134-000",1081509,"WLR for SF LD 10
0353539-000",1081510,,,"0556087-000
KIT,SWE-2,SHELBY",1081601,"0510619-000
OPTION,SSID/SWE/SHELBY",1081511,"OPTION,940NM LED,WLR/PR
0676544-000",1081602,,,,,,0
Viking SS12K,7273069,,KLA,KLA,17-May,30-Jun,,,,,"Tester SS12K 
0787175-000",1081617," 0960431-000        FEATURE,BBSE,SS11K,ROW",1082012,,,,,"0801880-000 
KIT,INTEGRATION,LDSR-XP",1084803,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1081634,,,"0676538-000 OPTION,940NM LED,PR,LDSR",1082013,,0
Viking SS11K_m,7273148,119277,MICRON FAB 11,KLA,17-May,31-Jul,,H000344479,0756702-000,1084647,"Tester SS11K_M 
0750868-000 ",1081638,"0750855-000 
FEATURE,2.5UM IRSE",1081649," 0862467-000           LDSR INTEGRATION, ROW",1081647,"0750201-000 
OPTION,LDSR-HR,SS11K",,"0748073-000
 OPTION,SWE-EP,SS11K",1081641,"0754840-000
KIT,INTEGRATION,SSID,SS11K",1081642,"0715121-000 
OPTION,COMPENSATOR,SS11K",1081644,"0676538-000
OPTION,940NM LED,PR,LDSR ",1081645,,,1,0
Aleris 8370,7273176,123646,SAMSUNG P3F,KLA,19-May,14-Jun,,H000344273,0221125-000,1083241,Tester 0221128-000,1081655,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1081656,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1081657,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1081658,0613744-000 ID,1081659,0372205-001 SWE,1081660," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1081661,,,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Aleris 8350,7273206,117160,WINBOND FAB KAOHSIUNG,KLA,23-May,20-Jun,,H000344243,0221125-000,1082886,Tester 0221128-000,1081798,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1081800,"0100231-001 
FEATURE,WLR,ALERIS",1081801,,,"0100420-000 
OPTION,15X UVR,ALERIS",1081802,,,,,,,"0379804-000 KIT, N2 PURGE, MATCHING",1081803,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Aleris 8350,7273151,,INTEL IRELAND LTD FAB 24,KLA,23-May,20-Jun,,H000344436,0221125-000,1083433,Tester 0221128-000,1081810,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1081811,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1081812,,,,,,,,,,,,,,0
Viking SS12K,7273201,127438,TSMC FAB 12 P5,KLA,24-May,30-Jun,,H000316884,0787175-000,1081890,"Tester SS12K 
0787175-000",1081890,"0802914-000 
FEATURE,BBSE,SS12K",1081618,"0801880-000 
KIT,INTEGRATION,LDSR-XP",1081633,"0790589-000-Optical module, LDSR-XP",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1081891,,,"0676538-000 OPTION,940NM LED,PR,LDSR",1084337,,0
Viking F1,7273215,123108,TSMC FAB 12 P8,KLA,25-May,30-Jun,,H000344497,0634468-000,1083250,Tester 0614033-000,1081974,"0629129-000 
XMSE Cascaded",1081975,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1081976,,,"0607019-000 
OPTION,SWE-EP",1081977,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1081980,"0614958-000 OPTION,MSWAVECAL",1081978,"0623771-000 OPTION,FOG,F1",1081979,,0
F20,7273220,127349,SAMSUNG P3F,KLA,26-May,18-Aug,,,,,Tester 0745640-000,1082093,"0837211-000-FEATURE IRSE 2.5UM,HS,F10 ",1082097,"0990091-000
LDSR INTEGRATION",1082106,"0825350-000-OPTION,LDSRHR,F10  ",,"0748073-000
 OPTION,SWE-EP,SS11K",1082098,,,"0804803-000
OPTION,COMPENSATOR,F10",1082099,"0614958-000 OPTION,MSWAVECAL",1082100,"0623771-000 OPTION,FOG,F1",1082101,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Aleris 8370,7273173,127468,SAMSUNG P3F,KLA,31-May,28-Jun,,,,,Tester 0221128-000,1082200,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1082201,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1082202,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1082203,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1082204,,,1,0
Viking SS11Ki,7273275,124106,INTEL CORPORATION FAB D1D,KLA,1-Jun,2-Aug,,,,,"Tester SS11K-I 
0715134-000",1082265,0714778-000 - BBSE SS11K,1082266,"0712159-000 
LDSR INTEGRATION",1082267,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1082268,,,0769140-000,0744867-000,,0
Viking SS11K_m,7273289,119335,SONY SEMI MFG OITA,KLA,1-Jun,25-Jul,,,,,"Tester SS11K_M 
0750868-000 ",1082326,"0750855-000 
FEATURE,2.5UM IRSE",1082327,"0712159-000 
LDSR INTEGRATION",1082328,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082329,,,,0779349-000,1,0
Viking SS11K,7273096,119470,TSMC FAB 18 P1,KLA,2-Jun,2-Aug,,H000317219,0756701-000,1084918,Tester 0745640-000,1082346,"0714778-000 
FEATURE,BBSE,SS11K-i",1082347,"0712159-000 
LDSR INTEGRATION",1082348,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082350,,,,,1,0
Viking SS11K_m,7273223,120732,YANGTZE MEMORY TECHNOLOGIES,KLA,2-Jun,29-Jul,,,,,"Tester SS11K_M 
0750868-000 ",1082352,"0750855-000 
FEATURE,2.5UM IRSE",1082353,"0712159-000 
LDSR INTEGRATION",1082354,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082350,"0814857-000           KIT,UPGRADE,1.2MM CAPABILITY,SS11K",1082360,"  0841808-000        KIT,UPGRADE,PASSIVE ISOLATION,SS11K",1082355,1,0
Aleris 8370,7273144,125360,SAMSUNG P3F,KLA,4-Jun,30-Jun,,,,,Tester 0221128-000,1082538,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1082539,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1082540,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1082541,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1082542,,,1,0
SS9010,7273125,120234,RESOURCES WEST MICROELECTRONICS,KLA-Vilar ,8-Jun,30-Jun,,H000317236,0391024-000,1084916,"TESTER,SPECTRA SHAPE 9010
0376421-000",1082667,"IRSE A-B
0598134-000",1082670,"0350699-000 
FEATURE,PR/FOCUS DETECTOR,SHELBY CD",1082674,,,0556674-000 Low NA Euvr,1082675,,,,,,,,,1,0
Viking SS11K_S,7273230,123828,SAMSUNG P1-2,KLA,9-Jun,30-Jun,,,,," TESTER,SPECTRASHAPE 11K_S
0842074-000",1082680,"0750855-000 
FEATURE,2.5UM IRSE",1083574,"0712159-000 
LDSR INTEGRATION",1082682,"0750201-000 
OPTION,LDSR-HR,SS11K",,"0748073-000
 OPTION,SWE-EP,SS11K",1083516,"0754840-000
KIT,INTEGRATION,SSID,SS11K",1083517,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082683,"0676538-000 OPTION,940NM LED,PR,LDSR",1083518,0647916-000,,1,0
Viking SS11K_m,7273286,123265,MICRON FAB 16,KLA,9-Jun,16-Aug,,,,,"Tester SS11K_M 
0750868-000 ",1082684,"0750855-000 
FEATURE,2.5UM IRSE",1082685,"0712159-000 
LDSR INTEGRATION",1082686,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082687,"0676538-000
OPTION,940NM LED,PR,LDSR ",1082688,,,1,0
Viking SS11K,7273254,119768,TSMC FAB 18 P1,KLA,14-Jun,20-Jul,,H000317217,0756701-000,1084596,Tester 0745640-000,1082835,"0714778-000 
FEATURE,BBSE,SS11K-i",1082834,"0712159-000 
LDSR INTEGRATION",1082836,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082837,,,,,1,0
Viking SS11K_m,7273271,119640,TOKYO OHKA KORIYAMA,KLA,14-Jun,21-Jul,,H000344620,0756702-000,1084658,"Tester SS11K_M 
0750868-000 ",1082842,"0750855-000 
FEATURE,2.5UM IRSE",1082843,"0712159-000 
LDSR INTEGRATION",1082844,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1082845,,,,,1,0
Aleris 8500,7273203,123047,SEMICONDUCTOR MANUFACTURING BEJING,KLA,16-Jun,19-Jul,,,,,Tester 0221129-000,1082906,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1082907,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1082911,,,"0100420-000 
OPTION,15X UVR,ALERIS",1082908,0613744-000 ID,1082909,"0372205-001 
KIT,SWE,ALERIS,ROW",1082910,,,,,1,0
Aleris 8370,7273205,125373,SAMSUNG P3F,KLA,16-Jun,11-Jul,,,,,Tester 0221128-000,1082912,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1082913,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1082914,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1082915,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1082916,,,1,0
Aleris 8500,7273249,120040,TSMC FAB 16,KLA,16-Jun,14-Jul,,H000344407,0221126-000,1085062,Tester 0221129-000,1082917,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1082919,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1082920,,,,,0567632-000 AID,1082921,"0372205-001 
KIT,SWE,ALERIS,ROW",1082922,,,,,1,0
SS 8660,7273188,125474,KIOXIA CORP Y7,KLA,16-Jun,30-Jun,,,,,Tester - 0299229-000,1083076,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1083077,0117525-000 FD,1083078,,,"0283708-000 
eUVR",1083079,,,,,"   0693129-000 
KIT,UPGRADE,PARTICLE EXTRACTION,ALERIS",1083253,"0613804-000 ASSY, N2 PURGE, 8810/8660 MATCHING,MAKE ",1083252,,0
Viking SS11Ki,7273309,124108,INTEL CORPORATION FAB D1D,KLA,19-Jun,1-Sep,,,,,"Tester SS11K-I 
0715134-000",1083107,0714778-000 - BBSE SS11K,1083111,"0712159-000 
LDSR INTEGRATION",1083112,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1083113,,,0769140-000,0744867-000,,0
Viking F1,7273247,123112,TSMC FAB 12 P8,KLA,19-Jun,13-Jul,,H000344437,0634468-000,1084595,Tester 0614033-000,1083120,"0629129-000 
XMSE Cascaded",1083121,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1083123,,,"0607019-000 
OPTION,SWE-EP",1083125,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083126,"0614958-000 OPTION,MSWAVECAL",1083127,"0623771-000 OPTION,FOG,F1",1083128,,0
SS 8660,7273211,,HUA HONG SEMICONDUCTOR (WUXI),KLA,19-Jun,19-Jul,,,,,Tester - 0299229-000,1083144,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1083145,0117525-000 FD,1083146,,,"0283708-000 
eUVR",1083147,,,,,,,,,,0
Aleris 8500,7273231,120041,TSMC FAB 16,KLA,23-Jun,6-Jul,,,,,Tester 0221129-000,1083300,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1083302,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083303,,,,,0567632-000 AID,1083304,"0372205-001 
KIT,SWE,ALERIS,ROW",1083305,,,,,1,0
Viking SS10K 3D ,7273217,122911,SOITEC MICROELECTRONICS SINGAPORE,KLA,26-Jun,5-Jul,,H000344508,0694165-000,1083877,Tester 0575637-000,1083397,"0624483-000 
FEATURE, 2.2UM IRSE",1083399,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1083401,,,,,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083403,,,,,,0
Viking SS10K,7273222,120567,TSMC FAB 18 P1,KLA,26-Jun,7-Jul,,H000344549,0634469-000,1085278,Tester 0575637-000,1083404,"0595800-000 
BBSE,MICRO SPOT,LDSR",1083411,"0638704-000 
KIT,INTEGRATION,LDSR",1083406,"0575683-000 
OPTION,LDSR,VIKING",,,,,,"0597905-000 
Compensator",1083407,"0612400-000 KIT,UPGRADE,16HZ SE POLARIZER",Didn’t issue in toll start,,,,0
Viking SS10K,7273227,120568,TSMC FAB 18 P1,KLA,26-Jun,7-Jul,,H000344571,0634469-000,1085274,Tester 0575637-000,1083424,"0595800-000 
BBSE,MICRO SPOT,LDSR",1083427,"0638704-000 
KIT,INTEGRATION,LDSR",1083428,"0575683-000 
OPTION,LDSR,VIKING",,,,,,"0597905-000 
Compensator",1083429,"0612400-000 KIT,UPGRADE,16HZ SE POLARIZER",Didn’t issue in toll start,,,,0
Viking SS10K,7273214,119355,GLOBALFOUNDRIES MALTA NY FAB 8,KLA,26-Jun,4-Jul,,H000344504,0694165-000,1085084,Tester 0575637-000,1083423,"0624483-000 
FEATURE, 2.2UM IRSE",1083432,"0638704-000 
KIT,INTEGRATION,LDSR",1083430,"0575683-000 
OPTION,LDSR,VIKING",,,,,,"0597905-000
Copensator",1083434,,,,,,0
Viking F1,7273266,124881,SAMSUNG P2L,KLA,26-Jun,19-Jul,,,,,Tester 0614033-000,1083443,"0629129-000 
XMSE Cascaded",1083444,"0638704-000
KIT,INTEGRATION,LDSR",1083445,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1083446,"0638710-000
SSiD",1083447,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083448,"0614958-000 OPTION,MSWAVECAL",1083451,"0623771-000
OPTION,FOG,F1",1083449,"0679597-000
OPTION,N2 LOCAL PURGE,SWE-EP",0
Aleris 8370,7273204,127466,SAMSUNG P3F,KLA,26-Jun,19-Jul,,,,,Tester 0221128-000,1083452,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1083454,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1083455,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1083456,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1083457,,,,0
Aleris 8500,7273248,120049,TSMC FAB 16,KLA,26-Jun,14-Jul,,,,,Tester 0221129-000,1083466,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1083469,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083471,,,,,0567632-000 AID,1083472,"0372205-001 
KIT,SWE,ALERIS,ROW",1083473,,,,,,0
Aleris 8350,7273196,120086,INTEL IRELAND LTD FAB 24,KLA,27-Jun,17-Jul,,,,,Tester 0221128-000,1083563,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1083569,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083559,,,0567632-000 AID,1083560,"0372205-001
KIT,SWE,ALERIS,ROW",1083562,,,,,,,,0
Aleris 8500,7273084,0,HUA HONG SEMICONDUCTOR (WUXI),KLA,27-Jun,19-Jul,,,,,Tester 0221129-000,1083515,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1083520,"0100231-001 
FEATURE,WLR,ALERIS",1083519,,,0613744-000 ID,1083521,"0372205-001 
KIT,SWE,ALERIS,ROW",1083522,,,,,,,,0
Aleris 8370,7273199,0,SAMSUNG P3F,KLA,27-Jun,18-Jul,,,,,Tester 0221128-000,1083549,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1083561,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1083564,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1083566,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1083567,,,,0
Aleris 9350,7273265,,OPEN,KLA,27-Jun,3-Aug,,,,,"Tester SS12K 
0787175-000",1083585,"0714778-000 
FEATURE,BBSE,SS11K-i",1083589,"0801880-000 
KIT,INTEGRATION,LDSR-XP",1083587,"0790589-000-Optical module, LDSR-XP",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1083588,,,,,,0
Viking SS11K_m,7273272,125828,#N/A,KLA,4-Jul,24-Jul,,,,,"Tester SS11K_M 
0750868-000 ",1083880,"0750855-000 
FEATURE,2.5UM IRSE",1083881,,,0828181-000-Option DNS,1083882,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1083883,,,0647916-000,,,0
Aleris 8510,7273082,119087,GLOBALFOUNDRIES SINGAPORE (FAB 7),KLA,5-Jul,1-Aug,,H000344717,0256442-000,1085069,Tester  0291462-000,1083893,"0256449-000 
FEATURE,BBSE,150/VUV,ALERIS 8510",1083890,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083892,,,"0100420-000
OPTION 15X UVR ALERIS",1083894,0567632-000 AID,1083895,"0372205-001 
KIT,SWE,ALERIS,ROW",1083896,,,,,,0
Viking F1,7273267,120708,TSMC FAB 18 P6,KLA,5-Jul,19-Jul,,,,,Tester 0614033-000,1083899,"0629129-000 
XMSE Cascaded",1083900,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1083901,,,"0607019-000 
OPTION,SWE-EP",1083902,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083904,"0614958-000 OPTION,MSWAVECAL",1083905,"0623771-000
OPTION,FOG,F1",1083906,,0
LD10,7273235,119674,STMICROELECTRONICS (CROLLES 2) SAS,KLA,5-Jul,19-Jul,,,,,"TESTER – LD 10
0511938-000",1084123,"IRSE A-B
0598134-000",1084124,"WLR for SF LD 10
0353539-000",1084125,,,"0556087-000
KIT,SWE-2,SHELBY",1084130,"0510619-000
OPTION,SSID/SWE/SHELBY",1084126,"OPTION,940NM LED,WLR/PR
0676544-000",1084131,,,,,,0
F20,7273323,126712,SAMSUNG P3F,KLA,10-Jul,20-Sep,,,,,Tester 0745640-000,1084176,"0837211-000-FEATURE IRSE 2.5UM,HS,F10 ",1084175,"0990091-000
LDSR INTEGRATION",1084178,"0825350-000-OPTION,LDSRHR,F10  ",,"0748073-000
 OPTION,SWE-EP,SS11K",1084179,,,"0804803-000
OPTION,COMPENSATOR,F10",1084180,"0614958-000 OPTION,MSWAVECAL",1084181,"0623771-000 OPTION,FOG,F1",1084182," 0975909-000        KIT,UPGRADE,SE 170,V9,F10",0
Aleris 8500,7273257,118224,SMIC F16,KLA,10-Jul,25-Aug,,,,,Tester 0221129-000,1084186,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1084187,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084188,,,"0100420-000
OPTION 15X UVR ALERIS",1084189,"0613744-000
KIT MAKE IDESORBER SP ALERIS",1084190,"0372205-001 
KIT,SWE,ALERIS,ROW",1084191,,,,,,0
Viking F1,7273283,122824,CHANGXIN JIDIAN (BEIJING) MEMORY,KLA,11-Jul,30-Aug,,,,,Tester 0614033-000,1084268,"0673967-000 
FEATURE, 2.2UM IRSE,F1",1084269,"0638704-000
KIT,INTEGRATION,LDSR",1084270,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084272,"0638710-000
SSiD",1084273,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084274,"0614958-000 OPTION,MSWAVECAL",1084275,"0623771-000
OPTION,FOG,F1",1084276,,0
Viking F1,7273287,122825,CHANGXIN JIDIAN (BEIJING) MEMORY,KLA,11-Jul,28-Aug,,,,,Tester 0614033-000,1084277,"0673967-000 
FEATURE, 2.2UM IRSE,F1",1084278,"0638704-000
KIT,INTEGRATION,LDSR",1084279,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084280,"0638710-000
SSiD",1084281,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084282,"0614958-000 OPTION,MSWAVECAL",1084283,"0623771-000
OPTION,FOG,F1",1084284,,0
SF 8660,7273262,119044,GLOBALFOUNDERIES SINGAPORE )FAB 7H(,KLA-Vilar ,12-Jul,1-Aug,,H000344669,0809023-000,1085266,Tester - 0754738-000,1084285,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1084286,"0100231-001 
FEATURE,WLR,ALERIS",1084287,,,,,,,,,,,,,,0
Aleris 8350,7273192,122488,INTEL SEMICONDUCTOR (DALIAN) LTD.,KLA,12-Jul,26-Jul,,,,,Tester 0221128-000,1084302,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1084303,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084304,,,"0100420-000 
OPTION,15X UVR,ALERIS",1084305,,,,,,,,,,0
Viking F1,7273269,123121,TSMC FAB 18 P5,KLA,12-Jul,22-Aug,Tester 0614033-000,1084288,"0629129-000 
XMSE Cascaded",1084290,Tester 0614033-000,1084288,"0629129-000 
XMSE Cascaded",1084290,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084289,,,"0607019-000 
OPTION,SWE-EP",1084294,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084291,"0614958-000 OPTION,MSWAVECAL",1084292,"0623771-000
OPTION,FOG,F1",1084293,,0
Viking F1,7273263,120688,TSMC FAB 18 P1,KLA,12-Jul,3-Oct,,,,,Tester 0614033-000,1084306,"0629129-000 
XMSE Cascaded",1084307,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084308,,,"0607019-000 
OPTION,SWE-EP",1084309,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084310,"0614958-000 OPTION,MSWAVECAL",1084311,"0623771-000
OPTION,FOG,F1",1084312,,0
Viking SS11K,7273239,124028,SMSC (S2B),KLA,14-Jul,3-Oct,,,,,Tester 0745640-000,1084352,"0714778-000 
FEATURE,BBSE,SS11K-i",1084353,"0712159-000 
LDSR INTEGRATION",1084354,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084355,,,,,,0
Aleris 8510,7273280,119278,GLOBALFOUNDRIES SINGAPORE (FAB 7H),KLA,16-Jul,24-Aug,,,,,Tester  0291462-000,1084421,"0256449-000 
FEATURE,BBSE,150/VUV,ALERIS 8510",1084422,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084423,"0100420-000
OPTION 15X UVR ALERIS",1084424,"0372205-001 
KIT,SWE,ALERIS,ROW",1084425,0567632-000 AID,1084426,,,,,,,,0
